Slice,Mean
1,85.44886
2,85.11629
3,85.26250
4,84.93447
5,84.92007
6,85.07197
7,84.86781
8,84.86704
9,84.96136
10,85.12197
11,85.02576
12,84.89925
13,85.19924
14,85.04507
15,85.17424
16,85.16325
17,84.91136
18,84.76629
19,85.15265
20,85.14243
21,85.34053
22,85.22235
23,85.26553
24,85.24583
25,85.12311
26,85.34849
27,84.88826
28,85.08257
29,85.16022
30,85.06136
31,85.09356
32,84.79318
33,85.13219
34,84.93864
35,84.98901
36,85.00038
37,84.75947
38,84.74811
39,84.97993
40,85.03106
41,85.00417
42,85.07310
43,85.21931
44,84.78864
45,85.06288
46,85.02273
47,85.12197
48,85.07613
49,85.21175
50,84.91477
51,84.97159
52,85.14204
53,84.95000
54,85.08523
55,84.85416
56,84.90076
57,84.83675
58,84.66932
59,85.10644
60,84.91591
61,84.91364
62,85.11174
63,84.88371
64,84.95000
65,85.19583
66,85.14280
67,85.27992
68,85.27538
69,85.42992
70,85.69053
71,85.61667
72,85.66439
73,85.50455
74,85.07121
75,85.35114
76,84.91780
77,85.00796
78,84.82083
79,85.18561
80,84.59886
81,84.76136
82,84.73788
83,85.44091
84,85.56969
85,85.83257
86,85.54924
87,85.69205
88,85.50455
89,85.66439
90,85.37045
91,85.63560
92,85.60379
93,85.70265
94,85.33523
95,85.54091
96,85.35000
97,85.09015
98,84.97955
99,85.11250
100,84.87273
101,84.88523
102,85.03636
103,85.04243
104,85.24356
105,85.01136
106,84.90909
107,85.21250
108,85.23296
109,84.99848
110,84.86401
111,84.92538
112,84.92879
113,84.91818
114,84.92197
115,84.89091
116,84.78636
117,84.78939
118,84.58826
119,85.25758
120,85.03902
121,85.17083
122,85.25871
123,85.31174
124,85.44508
125,85.16818
126,85.44469
127,85.64507
128,85.99924
129,85.64432
130,85.79848
131,85.76060
132,85.14848
133,85.10000
134,84.94773
135,85.38447
136,86.93674
137,87.18220
138,87.17614
139,86.89053
140,86.56402
141,86.26440
142,86.18750
143,85.87197
144,85.70493
145,85.28561
146,85.26515
147,85.21819
148,85.23220
149,85.03144
150,84.83598
151,85.64318
152,85.39545
153,85.35682
154,85.47159
155,85.27576
156,85.29166
157,85.81628
158,85.35227
159,85.44394
160,85.12614
161,85.17424
162,85.21591
163,85.05606
164,85.11818
165,84.76970
166,84.73523
167,84.73333
168,84.64091
169,84.51363
170,84.26402
171,84.52425
172,84.36440
173,84.01440
174,84.12311
175,84.15114
176,84.06439
177,84.08598
178,83.72689
179,83.83750
180,83.76932
181,83.55682
182,83.85720
183,83.89621
184,84.15114
185,83.95417
186,83.85985
187,84.14848
188,83.72955
189,84.75871
190,84.50417
191,84.48447
192,84.17500
193,84.34545
194,84.39280
195,84.14925
196,84.32121
197,84.17841
198,84.39432
199,84.31402
200,84.20720
201,83.80833
202,83.84053
203,84.08675
204,83.62500
205,83.83636
206,84.13712
207,84.05984
208,83.80227
209,83.98788
210,83.65228
211,83.62122
212,83.60227
213,83.70985
214,83.82083
215,85.21326
216,85.64621
217,85.40947
218,84.83144
219,84.71098
220,84.79962
221,84.38030
222,84.04659
223,84.27992
224,84.01174
225,83.88940
226,84.09394
227,84.12348
228,84.09091
229,84.10075
230,84.15265
231,83.92765
232,83.84697
233,83.78522
234,83.66591
235,83.65985
236,83.59659
237,83.24962
238,83.38296
239,83.44318
240,83.25000
241,83.00114
242,83.31780
243,83.28788
244,83.30303
245,82.82879
246,83.19508
247,83.09205
248,82.98712
249,83.10075
250,83.10000
251,83.45454
252,83.67917
253,83.52159
254,83.23940
255,83.23598
256,83.41553
257,83.16743
258,83.44546
259,83.49583
260,83.02007
