seconds,H21.26.407.11.04.01.01,H22.03.301.11.07.02.01,H22.03.302.11.07.01.01,H22.03.302.11.08.01.01,H22.03.302.11.04.01.01,H22.03.304.11.08.01.01,H22.03.304.11.04.01.01
0,-67.752701,-53.148533,-62.359524,-64.764771,-58.346268,-53.286598,-59.230804
15,-67.467461,-52.188248,-62.4645,-64.989418,-57.657391,-50.235703,-57.494667
30,-67.431458,-52.962887,-62.457676,-65.138847,-58.692204,-52.354816,-58.472755
45,-67.25972,-52.067833,-62.958385,-65.318817,-60,-51.070045,-58.827332
60,-66.846275,-47.064476,-63.332962,-64.729164,-65.394226,-50.733406,-58.225388
75,-67.151131,-43.161011,-61.554153,-65.269852,-62.258381,-51.02948,-57.743855
90,-67.101059,-40.676247,-61.598347,-64.831497,-61.01572,-50.41222,-56.578327
105,-67.080978,-46.129894,-60.412495,-66.15551,-55.087547,-50.412746,-56.26321
120,-67.014732,-45.794304,-60.841698,-65.862411,-56.903103,-49.340862,-58.420742
135,-66.749657,-50.981964,-60.987476,-66.137466,-57.588638,-48.34293,-58.694328
150,-66.965355,-48.487488,-61.128265,-65.629585,-56.245903,-48.390686,-58.493481
165,-67.009956,-47.193665,-60.568573,-64.817299,-60.603397,-48.704113,-59.509342
180,-67.786362,-47.796051,-60.545105,-65.132904,-60.55611,-49.395191,-57.625706
195,-67.750748,-47.517765,-60.752831,-65.391182,-61.080826,-48.537605,-57.959877
210,-67.344078,-45.279945,-61.567219,-65.114548,-60.436783,-48.537632,-58.000614
225,-67.324203,-48.616158,-61.993912,-64.941757,-61.468884,-46.931747,-57.662678
240,-67.305168,-47.843201,-62.396553,-65.261505,-60.373508,-48.321362,-57.939198
255,-66.990242,-48.208984,-61.663483,-64.551773,-60.844799,-47.444748,-57.593037
270,-67.387001,-47.639843,-61.452587,-64.51474,-61.117607,-46.024059,-57.942726
285,-67.435249,-48.431091,-60.576508,-62.393475,-60.265514,-43.692905,-57.436218
300,-67.759712,-48.349945,-60.466808,-62.97958,-59.681812,-28.916988,-56.87101
315,-67.235939,-50.43362,-59.397938,-61.818893,-59.873295,-48.901691,-57.389404
330,-67.052414,-50.576176,-59.970985,-61.266003,-59.479248,-42.038658,-58.038685
345,-66.736038,-51.516773,-61.12566,-61.745842,-59.408558,-44.977356,-57.091671
360,-66.972275,-51.388851,-61.221039,-59.176411,-58.760063,-44.833023,-57.412399
375,-66.871361,-50.336632,-61.826591,-60.305771,-58.151115,-48.345131,-55.974144
390,-66.769104,-49.608578,-62.002247,-59.912937,-58.454636,-41.031235,-57.757008
405,-66.749969,-49.308567,-60.641987,-59.559181,-58.016567,-47.64785,-57.460773
420,-66.87735,-48.516987,-61.457516,-61.007011,-57.456089,-46.947086,-57.879982
435,-67.289474,-43.474316,-61.567135,-60.688335,-57.184795,-44.341686,-57.01012
450,-66.966377,-47.177944,-61.805058,-59.369503,-57.276028,-46.812088,-56.902828
465,-66.921341,-48.544289,-61.631855,-58.800228,-56.221981,-40.676205,-57.063091
480,-66.979843,-49.474888,-61.947365,-58.251514,-57.349869,-40.568699,-56.607128
495,-66.278839,-49.145187,-60.926216,-57.466824,-57.378468,-42.288071,-56.019913
510,-67.010231,-48.194683,-61.914165,-56.993675,-56.183369,-40.310444,-55.750935
525,-66.580086,-47.9263,-62.394299,-56.962471,-57.096176,-42.321777,-55.241573
540,-66.096962,-51.292057,-62.945694,-60.599262,-57.111553,-39.402054,-55.276825
555,-66.587601,-46.56628,-62.626499,-62.644855,-56.400543,-40.227139,-55.033337
570,-66.247459,-48.172089,-62.563759,-63.357029,-56.039364,-42.150482,-55.256287
585,-66.386948,-49.916508,-57.974396,-62.41222,-55.550175,-39.984371,-55.38369
