seconds,591847.01.09.01,591847.02.09.01,591847.04.09.01,592085.02.01.01,592085.03.01.01,592380.03.03.01,593596.05.09.01,593185.05.09.01
0,-67.400024,-67.133957,-74.641914,-67.236961,-77.876579,-64.833366,-75.962524,-71.683792
15,-66.618713,-67.416336,-74.571648,-66.023308,-78.060104,-65.974579,-75.880089,-71.630501
30,-68.345207,-67.012024,-74.832924,-67.044899,-78.062477,-65.457306,-75.605545,-72.275467
45,-69.024506,-67.243935,-74.204659,-67.107101,-77.53389,-65.010918,-75.420967,-72.176262
60,-70.407814,-67.329231,-74.356903,-67.200233,-77.788101,-64.888565,-75.492241,-72.086197
75,-71.164642,-68.191132,-74.300194,-67.7314,-77.433022,-65.631348,-75.452347,-71.900032
90,-70.212379,-67.35688,-73.943245,-67.964096,-77.677261,-65.282318,-75.440079,-72.091003
105,-71.083931,-66.870087,-74.398544,-66.655304,-78.213585,-65.425758,-75.026657,-72.228745
120,-70.014999,-67.111305,-74.147903,-66.983551,-77.796005,-64.144753,-75.107346,-72.403732
135,-71.095528,-67.253441,-74.195099,-66.523376,-77.910606,-64.129105,-74.924721,-72.294769
150,-72.399719,-66.434837,-74.346764,-65.828583,-76.845146,-63.67984,-74.642441,-72.334259
165,-73.259125,-66.535782,-74.273109,-66.476776,-77.18502,-63.080921,-74.953964,-72.375214
180,-72.01371,-67.072716,-73.942093,-66.655411,-77.609764,-62.532001,-75.051071,-71.838943
195,-74.175468,-67.091095,-74.017105,-65.058205,-77.431458,-63.059635,-75.076645,-71.883461
210,-72.312546,-67.048973,-74.137329,-63.459602,-77.243202,-62.079388,-74.084373,-71.749374
225,-73.175674,-67.370171,-74.65844,-64.162521,-77.593185,-59.466221,-73.47831,-71.874084
240,-74.615829,-67.233093,-73.475174,-65.307098,-77.83709,-62.386169,-72.717453,-71.474503
255,-73.13755,-66.552406,-73.124466,-65.122917,-77.82003,-61.524315,-74.112061,-70.742485
270,-73.282318,-66.124184,-73.610985,-49.439415,-77.074936,-59.442692,-74.4758,-70.486473
285,-73.871536,-66.516968,-72.391121,-49.152828,-76.655807,-57.958271,-74.415329,-70.413498
300,-73.377022,-66.51123,-71.490791,-49.52774,-76.835648,-58.177738,-74.278206,-70.638237
315,-74.493507,-66.505142,-71.258659,-51.319302,-76.78212,-58.479855,-74.404854,-70.64502
330,-73.907059,-66.301567,-72.664246,-49.190273,-77.420143,-56.909966,-74.408714,-70.732712
345,-76.137955,-65.935974,-73.132851,-48.798611,-76.603012,-56.013126,-73.025368,-70.922897
360,-74.570229,-66.200531,-72.988823,-48.473129,-76.998871,-55.275547,-74.359406,-70.695206
375,-76.785271,-66.400063,-72.470322,-60.562862,-77.834877,-54.480003,-75.925735,-70.680428
390,-74.856293,-66.067146,-72.640663,-61.251377,-77.813644,-55.375504,-76.649147,-70.549713
405,-74.784477,-65.640556,-72.88192,-62.278023,-77.659607,-55.868904,-76.760719,-70.574577
420,-74.48951,-66.176376,-72.854515,-62.154968,-77.342506,-56.102009,-76.260742,-70.382942
435,-75.22377,-66.02169,-73.067261,-61.513416,-77.184059,-53.21722,-76.122101,-70.20079
450,-74.807167,-64.962242,-72.885918,-60.063644,-77.154747,-52.905788,-75.945267,-70.00032
465,-75.332466,-65.602592,-71.063133,-54.082111,-76.960182,-52.139858,-75.240913,-69.897751
480,-75.597992,-65.388405,-71.462204,-56.711815,-76.93541,-53.247299,-75.213081,-69.758247
495,-74.19619,-65.486252,-71.284142,-56.690025,-76.361549,-51.035194,-74.668358,-69.303612
510,-74.880058,-65.783546,-71.03611,-56.448845,-76.341469,-52.073486,-74.395561,-69.116409
525,-74.96978,-65.506828,-71.106194,-56.277412,-76.641357,-51.003124,-74.737015,-69.642166
540,-74.802307,-65.740204,-70.927185,-58.813942,-76.303391,-52.080112,-74.807549,-69.406326
555,-74.699043,-65.506516,-70.987198,-57.894844,-76.281258,-50.687847,-74.76973,-69.231636
570,-75.733292,-65.252899,-70.641159,-57.944633,-76.789078,-50.446754,-75.277573,-69.259117
585,-76.120552,-64.894775,-70.374664,-58.809734,-76.856209,-49.370079,-75.310959,-69.389664
